party_id,office_id,social_id,party_name,party_domain,email_address,phone_number,fax_number,is_registered,deregister_reason,updated
17,501662e3-b4b6-4498-8bd9-cb669566fdbb,298daa0d-3f4f-412f-8f75-df626edb209a,Libertarian Party of Canada,libertarian.ca,,1 (519) 671-8356,,true,,2022-03-11 05:55:15.452706
18,f28bfe3e-fe33-478e-b660-dcc750507e0a,,Marijuana Party,marijuanaparty.ca,pmp@partimarijuana.ca,1 (514) 725-8103,,true,,2022-03-11 05:55:15.452706
19,d64de8bd-a996-4ada-a9ba-34acb985cabc,37ea7d17-6499-48aa-9a47-f031e6d23682,Marxist-Leninist Party of Canada,cpcml.ca,info@cpcml.ca,1 (613) 792-4475,,true,,2022-03-11 05:55:15.452706
20,c7fa2ac4-5ce9-494a-bd49-27e33e7a7aa2,777df7e7-da09-4984-9b85-168ce453d8e1,Maverick Party,maverickparty.ca,info@maverickparty.ca,1 (587) 885-2555,1 (403) 276-6489,true,,2022-03-11 05:55:15.452706
21,370c6020-785d-4c8a-96ae-06d73ad895e5,,National Advancement Party of Canada,,,1 (403) 669-8132,,false,"voluntary deregistration, section 414",2022-03-11 05:55:15.452706
22,370c6020-785d-4c8a-96ae-06d73ad895e5,47c2e8fc-68bf-49e7-a265-5a5eabf9596b,National Citizens Alliance of Canada,nationalcitizensalliance.ca,info@nationalcitizensalliance.ca,1 (833) 822-8331,,true,,2022-03-11 05:55:15.452706
23,b9c016b3-568c-4981-bc9a-595b87c93d54,,Natural Law Party of Canada,,,1 (905) 450-0619,,false,"voluntary deregistration, section 414",2022-03-11 05:55:15.452706
24,1c5fa283-bdf7-4c37-89c8-061552b25db0,975b9088-b91d-4923-bf40-a90198848ba1,New Democratic Party,ndp.ca,,1 (613) 236-3613,1 (613) 230-9950,true,,2022-03-11 05:55:15.452706
25,733bd8a8-bb53-4dd4-84e0-a140f6b6278e,,Newfoundland and Labrador First Party,,,1 (709) 722-6537,,false,"involuntary deregistration, sections 410, 415",2022-03-11 05:55:15.452706
26,725e2c15-ed2c-4362-abd8-375dad1475c8,a49aed4f-799f-49d4-87a0-2869aa31496c,Parti Patriote,partipatriote.ca,info@partipatriote.ca,1 (438) 498-1557,,true,,2022-03-11 05:55:15.452706
27,6a69e2c4-f6b7-4807-8c40-8be6f1176771,,Pour l'Independance du Quebec,quebecpays.com,jacinthe.lafrenaye@independantiste.quebec,1 (514) 823-8891,,true,,2022-03-11 05:55:15.452706
28,bf27176b-5ef5-4cdf-964e-74499750b3f6,4d49f990-fdfb-4e06-857c-c5929816554c,Parti Rhinoceros Party,partyrhino.ca,,1 (581) 624-2530,,true,,2022-03-11 05:55:15.452706
29,4489fbdd-2210-40ef-aafb-00612601834b,,"Party for Accountability, Competency and Transparency",,,1 (416) 567-6913,,false,"voluntary deregistration, section 414",2022-03-11 05:55:15.452706
30,06f4dcff-1185-4755-b82f-e7f796e50721,fe401dd5-5cb2-465c-a796-a7e62476d62c,People's Party of Canada,peoplespartyofcanada.ca,info@peoplespartyofcanada.ca,1 (819) 205-2648,1 (819) 205-2383,true,,2022-03-11 05:55:15.452706
31,af95a123-bbd7-4647-94e0-8d9bfb256aae,,People's Political Power Party of Canada,,,1 (204) 233-6087,1 (204) 233-6217,false,"involuntary deregistration, section 409",2022-03-11 05:55:15.452706
32,87db46a1-57d1-4c8b-94f0-267e43e26a17,,Pirate Party of Canada,,,,,false,"involuntary deregistration, section 413(a)",2022-03-11 05:55:15.452706
33,2a42a0fd-f8a7-49c9-9320-fc631e14b681,,Progressive Canadian Party,,,1 (613) 738-8946,,false,"involuntary deregistration, section 415(3)",2022-03-11 05:55:15.452706
34,7183a0a7-eee5-4cf0-bcc5-137a61115d57,,Seniors Party of Canada,,,1 (647) 454-5699,1 (416) 628-5274,false,"involuntary deregistration, section 413(b)",2022-03-11 05:55:15.452706
35,9bb1b3b6-dde1-464a-a9c3-5cbc272e3903,,Stop Climate Change,,,1 (705) 743-2939,,false,"involuntary deregistration, section 415(3)",2022-03-11 05:55:15.452706
36,69396a7a-bf79-4de3-ae4d-4fd285a624f9,,The Bridge Party of Canada,,,1 (647) 964-0536,,false,"involuntary deregistration, section 402",2022-03-11 05:55:15.452706
37,79e0d8b5-c34f-46af-a6bf-7393e6c29c9f,,The United Party of Canada,,,1 (416) 728-7372,,false,"involuntary deregistration, section (415(3)",2022-03-11 05:55:15.452706
38,e655892a-e155-4aa2-afc5-c47ec3cfeffb,,United Party of Canada,,,1 (905) 476-0000,,false,"voluntary deregistration, section 414",2022-03-11 05:55:15.452706
39,a6b22735-60fd-4aa5-946e-b85fde332abc,,Work Less Party,,,1 (604) 215-9395,,false,"voluntary deregistration, section 414",2022-03-11 05:55:15.452706
40,eac7765b-dd69-48b6-a27a-68a9a757668c,,Western Block Party,,,1 (250) 479-6270,1 (250) 479-3294,false,"involuntary deregistration, sections 410(3)",2022-03-11 05:55:15.452706
41,dfd56603-dfb4-4c88-892b-2c028c871873,,Veterans Coalition Party of Canada,veteranscoalitionpartyofcanada.com,randyjoy2010@hotmail.com,1 (902) 217-7682,,true,,2022-03-11 05:55:15.452706
0,11111111-1111-1111-1111-111111111111,,No Political Party Assigned,,,,,false,,2022-03-11 21:39:22.832843
42,,,Independent - No Political Party,,,,,false,,2022-03-14 18:00:52.106038
43,,,Animal Alliance Environment Voters Party of Canada,,,,,false,,2022-03-14 18:42:18.678056
44,,,Canada's Fourth Front,,,,,false,,2022-03-14 20:42:54.917705
45,,,Nationalist,,,,,false,,2022-03-17 00:59:55.417782
